,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy,PurchYear
1389,2004,6,FORD,TAURUS,SE,4D SEDAN SE,RED,AUTO,Covers,74124,AMERICAN,MEDIUM,FORD,3042,4286,6379,7740,2878,3962,5856,7361,94544,5050,0,920,0,2010
1390,2007,3,FORD,TAURUS,SE,4D SEDAN SE,SILVER,AUTO,Covers,82989,AMERICAN,MEDIUM,FORD,5368,6773,9256,11679,4783,6062,8736,11072,94544,5180,0,983,0,2010
1391,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GREY,AUTO,Covers,67085,AMERICAN,MEDIUM,GM,5085,6258,8100,9476,4830,6171,8231,9619,94544,5720,0,728,0,2010
1392,2006,4,FORD,ESCAPE 2WD 4C,XLS,4D CUV 2.3L XLS,RED,AUTO,Alloy,83498,AMERICAN,SMALL SUV,FORD,6373,7709,10100,11299,6726,8036,10338,11671,94544,7600,0,983,0,2010
1393,2006,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,WHITE,AUTO,Alloy,81721,AMERICAN,LARGE,GM,6028,7538,9789,11197,6157,7624,9532,11028,94544,6655,0,2152,0,2010
1394,2007,3,FORD,FREESTAR FWD V6,SEL,PASSENGER 3.9L SEL,BLUE,AUTO,Alloy,85960,AMERICAN,VAN,FORD,8248,10211,12636,14537,7679,10502,11570,14479,94544,6135,0,1633,0,2010
1395,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,WHITE,AUTO,Covers,84767,AMERICAN,LARGE,GM,7667,8877,11125,12448,6838,7964,9920,11262,94544,7155,0,2152,0,2010
1396,2008,2,BUICK,LACROSSE,CX,4D SEDAN CX,BLUE,AUTO,Covers,88915,AMERICAN,LARGE,GM,9717,12583,14248,16680,8665,10498,13322,14807,94544,7420,0,1633,0,2010
1397,2007,3,FORD,FUSION V6,SE,4D SEDAN SE,GREY,AUTO,Alloy,70193,AMERICAN,MEDIUM,FORD,9517,11489,13594,15521,8417,10271,12843,13824,94544,8100,0,1272,0,2010
1398,2009,1,DODGE,JOURNEY FWD 4C,SE,4D SPORT UTILITY SE,BLACK,AUTO,Covers,62226,AMERICAN,CROSSOVER,CHRYSLER,9863,10638,13548,14870,9478,10473,13051,14159,94544,9280,0,1020,0,2010
1399,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,Covers,56385,AMERICAN,MEDIUM,CHRYSLER,7196,8330,10507,11849,6754,7890,10075,11285,94544,8200,0,920,0,2010
1400,2007,3,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLACK,AUTO,Alloy,48385,AMERICAN,LARGE,FORD,7565,9453,11375,13246,7144,8539,11352,12826,94544,8470,0,1046,0,2010
1401,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,BLUE,AUTO,Covers,59163,AMERICAN,LARGE,GM,7804,8697,11998,12894,8180,9368,12685,13513,94544,8470,0,1500,0,2010
1402,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,MAROON,AUTO,Covers,89839,AMERICAN,LARGE,GM,7505,8719,10898,12319,7133,8265,10325,11811,94544,7235,0,2152,0,2010
1403,2006,3,DODGE,STRATUS V6 2.7L V6 M,SXT,4D SEDAN SXT FFV,BLUE,AUTO,Covers,50558,AMERICAN,MEDIUM,CHRYSLER,5472,6413,6410,7426,5677,6569,6631,7595,21014,5300,0,1086,0,2009
1404,2007,2,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,GOLD,AUTO,Covers,90117,AMERICAN,LARGE,GM,7513,8711,8614,9908,7738,8967,8857,10184,21014,5750,0,2351,0,2009
1405,2005,5,FORD,EXPLORER 4WD V6,XLS,4D SUV 4.0L FFV XLS,BLACK,AUTO,Alloy,86909,AMERICAN,MEDIUM SUV,FORD,7532,8847,11221,12642,5869,7834,10603,12095,21014,7000,0,1893,0,2010
1406,2007,3,CHRYSLER,SEBRING V6,Bas,4D SEDAN,GREY,AUTO,Covers,88589,AMERICAN,MEDIUM,CHRYSLER,7438,8252,11150,11913,7174,8062,11322,12071,21014,6600,0,1373,0,2010
1407,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,GREY,AUTO,Covers,50026,AMERICAN,MEDIUM,CHRYSLER,6290,7125,9391,10157,6683,7547,10041,10845,21014,6300,0,1086,0,2010
1408,2004,6,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,BROWN,AUTO,Covers,80104,AMERICAN,VAN,GM,4825,5967,9044,10274,2674,3482,6331,7256,21014,5700,0,5092,0,2010
1409,2002,8,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,WHITE,AUTO,Covers,65059,AMERICAN,VAN,GM,3205,4649,6123,7401,1565,2402,4504,5236,21014,5100,0,4210,0,2010
1410,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,BLUE,AUTO,Covers,58603,AMERICAN,MEDIUM,CHRYSLER,5798,6802,9579,11237,5341,6351,8513,9822,21014,6000,0,1086,0,2010
1411,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,BLACK,AUTO,Covers,74705,AMERICAN,LARGE,GM,7575,8746,11092,12303,7233,8366,10431,11645,21014,7400,0,1974,0,2010
1412,2005,4,FORD,F150 PICKUP 2WD V8 5,Lar,EXT CAB 5.4L LARIAT,BLUE,AUTO,Alloy,68714,AMERICAN,LARGE TRUCK,FORD,9417,11888,10670,13339,9924,11718,11218,13155,77041,9090,0,728,0,2009
1413,2003,6,FORD,TAURUS 3.0L V6 EFI,SES,4D SEDAN SES,GOLD,AUTO,Alloy,66018,AMERICAN,MEDIUM,FORD,2907,3835,3640,4642,3231,4161,3989,4994,77041,4760,0,1125,0,2009
1414,2005,4,DODGE,NEON 2.0L I4 SFI,SXT,4D SEDAN,BLUE,AUTO,Alloy,72687,AMERICAN,COMPACT,CHRYSLER,3766,4779,4567,5661,3647,4711,4439,5588,77041,4960,0,686,1,2009
1415,2004,5,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,BLACK,AUTO,Covers,71038,AMERICAN,MEDIUM,CHRYSLER,3830,4668,4636,5541,3895,4799,4707,5683,77041,4660,0,1389,0,2009
1416,2005,4,GMC,1500 SIERRA PICKUP 2,SLE,CREW CAB 5.3L,BLUE,AUTO,Alloy,72093,AMERICAN,LARGE TRUCK,GM,11594,13481,13022,15059,13010,15263,14551,16984,77041,11720,0,1155,0,2009
1417,2005,4,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,WHITE,AUTO,Alloy,84535,AMERICAN,VAN,CHRYSLER,6512,8190,7533,9345,5686,7250,6641,8330,77041,6380,0,1763,0,2009
1418,2004,5,FORD,EXPEDITION 2WD V8 4.,XLT,4D SUV 4.6L XLT,GREY,AUTO,Alloy,74024,AMERICAN,LARGE SUV,FORD,8207,9387,9364,10638,8234,9624,9393,10894,77041,9210,0,1038,0,2009
1419,2006,3,CHEVROLET,TRAILBLAZER 2WD 6C 4,LS,4D SUV 4.2L,BLUE,AUTO,Alloy,59932,AMERICAN,MEDIUM SUV,GM,9277,10965,10519,12342,7429,9362,8523,10611,77041,8695,0,920,0,2009
1420,2005,4,PONTIAC,GRAND PRIX 3.8L V6 S,GTP,4D SEDAN GTP,SILVER,AUTO,Alloy,76379,AMERICAN,LARGE,GM,7870,9896,9000,11188,7870,9896,9000,11188,77041,8095,0,2208,0,2009
1421,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LT,4D SEDAN LT 3.5L,GOLD,AUTO,Covers,74820,AMERICAN,LARGE,GM,7546,9088,8650,10315,7546,9088,8650,10315,77041,7330,0,1974,0,2009
1422,2001,8,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,SILVER,AUTO,Covers,62615,AMERICAN,LARGE,GM,2260,3249,2941,4009,2260,3249,2941,4009,77041,5180,0,2003,0,2009
1423,2006,3,SUZUKI,FORENZA 2.0L I4 EFI,Bas,4D SEDAN,WHITE,MANUAL,Covers,41306,OTHER ASIAN,MEDIUM,OTHER,3996,4973,4816,5871,4285,5466,5128,6403,77041,5060,0,482,0,2009
1424,2005,4,DODGE,STRATUS 4C 2.4L I4 M,SXT,4D SEDAN,GREY,AUTO,Covers,68647,AMERICAN,MEDIUM,CHRYSLER,3963,4948,4780,5844,3618,5175,4407,6089,77041,4160,0,1020,0,2009
1425,2005,4,CHEVROLET,1500 SILVERADO PICKU,Bas,EXT CAB 5.3L,WHITE,AUTO,Alloy,97837,AMERICAN,LARGE TRUCK,GM,7875,9759,9005,11040,7420,8853,8514,10061,77041,7695,0,1341,0,2009
1426,2006,3,DODGE,CHARGER 3.5L V6 EFI,Bas,4D SEDAN,SILVER,AUTO,Covers,81511,AMERICAN,SPECIALTY,CHRYSLER,9279,11048,10521,12432,9131,10782,10361,12145,77041,9710,0,1503,0,2009
1427,2006,3,JEEP,LIBERTY 2WD V6 3.7L,Spo,4D SUV,GREY,AUTO,Alloy,77452,AMERICAN,SMALL SUV,CHRYSLER,9093,10419,10320,11753,9275,10651,10517,12003,77041,7595,0,686,1,2009
1428,2002,7,NISSAN,SENTRA 1.8L I4 EFI,XE,4D SEDAN,WHITE,AUTO,Covers,93085,TOP LINE ASIAN,COMPACT,OTHER,2943,3812,3678,4617,2729,3730,3447,4528,77041,3260,0,920,1,2009
1429,2005,4,NISSAN,ALTIMA 2.5L I4 MPI,Bas,4D SEDAN,BEIGE,AUTO,Covers,59701,TOP LINE ASIAN,MEDIUM,OTHER,6241,7832,7240,8959,6319,7638,7325,8749,77041,8830,0,588,0,2009
1430,2007,2,NISSAN,XTERRA 2WD V6 4.0L V,S,4D SPORT UTILITY,RED,AUTO,Alloy,95535,TOP LINE ASIAN,MEDIUM SUV,OTHER,12977,15083,14515,16790,12281,13633,16585,17745,77041,8630,0,620,0,2009
1431,2006,3,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER 3.5L LS,MAROON,AUTO,Covers,58970,AMERICAN,VAN,GM,6663,7974,7696,9112,6168,7399,10547,11839,77041,7295,0,1583,0,2009
1432,2006,3,FORD,MUSTANG V6 4.0L V6 E,Bas,2D COUPE,SILVER,MANUAL,Alloy,83370,AMERICAN,SPORTS,FORD,10833,12509,12200,14010,8699,10099,13020,14599,77041,8595,0,853,0,2009
1433,2003,6,FORD,EXPEDITION 2WD V8 5.,XLT,4D SUV 5.4L XLT,WHITE,AUTO,Alloy,70913,AMERICAN,LARGE SUV,FORD,7242,8502,8321,9682,7493,8913,8592,10126,77041,9510,0,1338,0,2009
1434,2002,7,GMC,ENVOY 2WD 6C 4.2L I6,SLE,4D UTILITY 4.2L SLE,MAROON,AUTO,Alloy,87945,AMERICAN,MEDIUM SUV,GM,5012,6329,5913,7335,4753,6235,5633,7234,77041,6180,0,1543,0,2009
1435,2004,5,CADILLAC,CTS 3.6L V6 SFI,Bas,4D SEDAN,SILVER,AUTO,Alloy,72673,AMERICAN,SPECIALTY,GM,9853,11805,11141,13249,10007,12053,11308,13517,77041,10610,0,1623,0,2009
1436,2006,3,CHRYSLER,PACIFICA FWD 3.5L V6,Bas,4D SPORT,WHITE,AUTO,Alloy,67154,AMERICAN,CROSSOVER,CHRYSLER,8629,10391,9819,11722,8808,10460,10013,11797,77041,8295,0,1215,0,2009
1437,2005,4,CHEVROLET,COBALT 2.2L I4 MPI,Bas,4D SEDAN,BLACK,MANUAL,Covers,96462,AMERICAN,COMPACT,GM,4948,6276,5844,7278,4987,6298,5886,7302,77041,2835,0,909,0,2009
1438,2002,7,SATURN,VUE 2WD 4C 2.2L I4 M,Bas,4D CUV 2.2L,SILVER,AUTO,Alloy,55168,AMERICAN,MEDIUM SUV,GM,2756,4007,3476,4828,2804,3574,3528,4360,77041,5280,0,1551,0,2009
1439,2001,8,SATURN,L SERIES 3.0L V6 EFI,L30,4D SEDAN L300,BEIGE,AUTO,Alloy,99019,AMERICAN,MEDIUM,GM,2297,3321,2981,4087,2548,3380,5311,6010,77041,3460,0,2939,0,2009
1440,2006,3,FORD,FREESTYLE FWD V6 3.0,SE,4D CUV 3.0L SE,GREEN,AUTO,Alloy,73810,AMERICAN,CROSSOVER,FORD,8020,9814,9162,11099,7139,8939,8210,10154,77041,7395,0,1506,0,2009
1441,2002,7,DODGE,CARAVAN GRAND FWD V6,Spo,MINIVAN 3.3L FFV SPORT,RED,AUTO,Covers,68733,AMERICAN,VAN,CHRYSLER,2851,3949,3579,4765,3539,4615,7693,10032,77041,4395,0,1711,0,2009
1442,2005,4,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,SILVER,AUTO,Covers,55647,AMERICAN,MEDIUM,CHRYSLER,4390,5579,5241,6525,3794,4809,7416,8527,77041,5980,0,1086,0,2009
1443,2002,7,CHRYSLER,PT CRUISER 2.4L I4 M,Tou,4D SEDAN TOURING,BEIGE,AUTO,Alloy,67667,AMERICAN,MEDIUM,CHRYSLER,2708,3410,3425,4183,2894,3848,6794,9033,77041,5280,0,1515,0,2009
1444,2003,6,CHEVROLET,SUBURBAN 1500 2WD 5.,150,4D UTILITY 5.3L FFV LS,BLACK,AUTO,Alloy,91786,AMERICAN,LARGE SUV,GM,7055,8664,8119,9857,7515,9185,11126,12819,77041,7995,0,2218,0,2009
1445,2006,3,PONTIAC,G6 V6 3.5L V6 SFI,Bas,4D SEDAN,GOLD,AUTO,Alloy,49449,AMERICAN,MEDIUM,GM,6516,7950,7537,9086,6111,7104,10181,11358,77041,7195,0,905,0,2009
1446,2007,2,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,GREY,AUTO,Covers,72249,AMERICAN,MEDIUM,CHRYSLER,7082,7915,8149,9048,7105,8343,10960,12200,77041,7495,0,1155,0,2009
1447,2006,3,CHEVROLET,EQUINOX FWD V6,LT,4D SUV LT,GREEN,AUTO,Alloy,82160,AMERICAN,MEDIUM SUV,GM,8875,10781,10085,12143,9069,10918,13788,16599,77041,7395,0,1503,0,2009
1448,2003,6,CHEVROLET,AVALANCHE 1500 2WD V,150,4D SUV-PICKUP 5.3L,RED,AUTO,Alloy,76775,AMERICAN,LARGE TRUCK,GM,8343,9590,9510,10857,9084,10794,12475,13789,77041,10215,0,1572,0,2009
1449,2007,2,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 4.7L FFV BIG HORN,GREY,AUTO,Alloy,76378,AMERICAN,LARGE TRUCK,CHRYSLER,12690,14949,14205,16645,12605,14931,17289,19152,77041,9915,0,920,0,2009
1450,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,GREY,AUTO,Covers,73166,AMERICAN,LARGE,GM,7972,8951,11236,12273,7930,9129,11421,12726,29697,7900,0,1974,0,2010
1451,2007,3,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLACK,AUTO,Alloy,98083,AMERICAN,LARGE,FORD,7746,9681,11913,13913,7159,8544,11254,12545,29697,7300,0,1774,0,2010
1452,2005,5,FORD,RANGER PICKUP 2WD 4C,XL,REG CAB 2.3L EDGE,WHITE,MANUAL,Alloy,83542,AMERICAN,SMALL TRUCK,FORD,3802,4794,6847,8053,4324,5198,7372,8611,29697,5500,0,594,0,2010
1453,2007,3,FORD,FUSION 4C,S,4D SEDAN S,WHITE,MANUAL,Covers,61660,AMERICAN,MEDIUM,FORD,7632,9240,11217,12718,7459,9185,11083,12542,29697,8200,0,728,0,2010
1454,2007,3,CHRYSLER,SEBRING V6,Bas,4D SEDAN,GREEN,AUTO,Covers,84244,AMERICAN,MEDIUM,CHRYSLER,6676,7682,10591,11557,7414,8390,11002,12035,29697,6900,0,1373,0,2010
1455,2003,7,CHEVROLET,IMPALA,Bas,4D SEDAN,SILVER,AUTO,Covers,77072,AMERICAN,LARGE,GM,2902,3992,5657,7039,2870,4017,6056,7332,29697,6100,0,2274,0,2010
1456,2007,3,PONTIAC,G6 V6,Bas,4D SEDAN,BLACK,AUTO,Alloy,80136,AMERICAN,MEDIUM,GM,8011,9528,11648,13113,7441,8783,11132,12558,29697,8100,0,1373,0,2010
1457,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,WHITE,AUTO,Covers,43255,AMERICAN,MEDIUM,CHRYSLER,7065,8200,11019,11992,6683,7774,9983,11242,29697,7200,0,834,0,2010
1458,2006,4,HYUNDAI,ELANTRA,GLS,4D SEDAN,SILVER,AUTO,Covers,79127,OTHER ASIAN,MEDIUM,OTHER,4583,5817,7536,8652,5246,6756,8647,10349,29697,6600,0,569,0,2010
1459,2007,3,KIA,OPTIMA 4C,EX,4D SEDAN,GREY,AUTO,Covers,64626,OTHER ASIAN,MEDIUM,OTHER,6541,7367,9776,10286,7359,8558,10504,11801,29697,7100,0,728,0,2010
1460,2004,5,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GREEN,AUTO,Alloy,71830,AMERICAN,MEDIUM,FORD,2993,3862,3732,4671,3175,4141,3929,4972,32824,4200,0,920,0,2009
1461,2003,6,FORD,FOCUS 2.0L I4 SPI,LX,4D SEDAN LX,SILVER,AUTO,Covers,69776,AMERICAN,COMPACT,FORD,2823,3552,3549,4336,2765,3579,3486,4365,32824,4200,0,1320,0,2009
1462,2004,5,HYUNDAI,SONATA V6 2.7L V6 MP,GLS,4D SEDAN,RED,AUTO,Alloy,66263,OTHER ASIAN,MEDIUM,OTHER,3662,4749,4455,5629,3868,5116,4677,6025,32824,5200,0,728,0,2009
1463,2005,4,SUZUKI,FORENZA 2.0L I4 EFI,S,4D SEDAN,SILVER,AUTO,Covers,49419,OTHER ASIAN,MEDIUM,OTHER,3250,4013,4010,4834,3669,4385,4463,5236,32824,4200,0,482,0,2009
1464,2004,5,DODGE,STRATUS V6 2.7L V6 M,SE,4D SEDAN SE,GOLD,AUTO,Covers,65699,AMERICAN,MEDIUM,CHRYSLER,2948,4085,3684,4912,3722,4983,4520,5882,32824,4100,0,1215,0,2009
1465,2004,5,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,GOLD,AUTO,Covers,84151,AMERICAN,MEDIUM,GM,3024,4048,3766,4872,3305,4231,4069,5069,32824,4100,0,1243,0,2009
1466,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,SILVER,AUTO,Alloy,49127,AMERICAN,MEDIUM,CHRYSLER,4611,5376,5480,6306,5511,6543,6452,7566,32824,4900,0,834,0,2009
1467,2003,6,DODGE,1500 RAM PICKUP 2WD,Lar,QUAD CAB 5.7L SLT,BLUE,AUTO,Alloy,84147,AMERICAN,LARGE TRUCK,CHRYSLER,6707,8337,7744,9504,7586,9120,8693,10350,32824,8600,0,1283,0,2009
1468,2005,4,CHEVROLET,CAVALIER 4C 2.2L I4,LS,4D SEDAN LS,WHITE,AUTO,Covers,74581,AMERICAN,COMPACT,GM,3461,4567,4238,5432,4291,5411,5134,6344,32824,4200,0,1155,0,2009
1469,2003,6,PONTIAC,MONTANA 3.4L V6 EFI,Bas,4D MINIVAN EXT 3.4L,BLUE,AUTO,Alloy,55808,AMERICAN,VAN,GM,2730,3803,3448,4607,3209,4041,3966,4864,32824,3400,0,3676,1,2009
1470,2007,2,SUZUKI,FORENZA 2.0L I4 EFI,Bas,4D SEDAN,GOLD,AUTO,Covers,27815,OTHER ASIAN,MEDIUM,OTHER,5799,6606,6763,7634,5762,6482,6723,7501,32824,6100,0,462,0,2009
1471,2004,5,FORD,FOCUS 2.0L I4 SPI,LX,4D SEDAN LX,BLUE,AUTO,Covers,76391,AMERICAN,COMPACT,FORD,2820,3667,3546,4460,3008,3821,3749,4627,32824,3400,0,1155,0,2009
1472,2001,8,CHRYSLER,PT CRUISER 2.4L I-4,Bas,4D SEDAN,PURPLE,AUTO,Alloy,74768,AMERICAN,MEDIUM,CHRYSLER,3076,3922,3822,4736,3324,4130,4090,4960,32824,3600,0,1689,0,2009
1473,2006,3,FORD,F150 PICKUP 2WD V8 5,Lar,EXT CAB 5.4L LARIAT,WHITE,AUTO,Alloy,62540,AMERICAN,LARGE TRUCK,FORD,13327,15962,14893,17739,13818,16338,15423,18145,32824,8600,0,728,0,2009
1474,2004,5,BUICK,LE SABRE 3.8L V6 MPI,Lim,4D SEDAN LIMITED,WHITE,AUTO,Alloy,86975,AMERICAN,LARGE,GM,7266,8058,8347,9203,6792,8673,7835,9867,32824,6800,0,2412,0,2009
1475,2002,7,FORD,F150 PICKUP 2WD V6 4,XL,REG CAB 4.2L XL,RED,AUTO,Alloy,85039,AMERICAN,LARGE TRUCK,FORD,3341,4615,4108,5484,4110,5547,4939,6491,32824,6000,0,894,0,2009
1476,2003,6,NISSAN,ALTIMA 2.5L I4 EFI,Bas,4D SEDAN S,RED,AUTO,Covers,87519,TOP LINE ASIAN,MEDIUM,OTHER,5214,6318,6131,7323,4844,5994,5732,6974,32824,6000,0,1023,0,2009
1477,2004,5,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,GOLD,AUTO,Covers,64315,AMERICAN,LARGE,GM,3643,4910,4434,5803,3643,4910,4434,5803,32824,5900,0,1703,0,2009
1478,2004,5,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,GREY,AUTO,Covers,64255,AMERICAN,LARGE,GM,3643,4910,4434,5803,3643,4910,4434,5803,32824,6200,0,1703,0,2009
1479,2003,6,DODGE,CARAVAN FWD 4C 2.4L,SE,MINIVAN 2.4L SE,BLUE,AUTO,Covers,76263,AMERICAN,VAN,CHRYSLER,2606,3423,3314,4197,2606,3423,3314,4197,32824,5000,0,1923,0,2009
1480,2005,4,CHRYSLER,PACIFICA FWD 3.5L V6,Tou,4D SPORT,BLUE,AUTO,Alloy,67694,AMERICAN,CROSSOVER,CHRYSLER,6952,8321,8008,9487,6952,8321,8008,9487,32824,8700,0,1215,0,2009
1481,2005,4,CHEVROLET,IMPALA 3.8L V6 SFI,LS,4D SEDAN LS,MAROON,AUTO,Alloy,79083,AMERICAN,LARGE,GM,5721,7551,6679,8655,5721,7551,6679,8655,32824,5800,0,1974,0,2009
1482,2006,3,FORD,FIVE HUNDRED 3.0L V6,SE,4D SEDAN SE,GREY,AUTO,Alloy,79141,AMERICAN,LARGE,FORD,6266,7716,7267,8833,6266,7716,7267,8833,32824,7000,0,1506,0,2009
1483,2006,3,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GOLD,AUTO,Alloy,59363,AMERICAN,MEDIUM,FORD,4495,5749,5355,6709,4495,5749,5355,6709,32824,5200,0,754,0,2009
1484,2003,6,FORD,TAURUS 3.0L V6 EFI,SES,4D SEDAN SES,SILVER,AUTO,Alloy,74189,AMERICAN,MEDIUM,FORD,2652,3662,3364,4455,2652,3662,3364,4455,32824,4500,0,1220,0,2009
1485,2004,5,HYUNDAI,ELANTRA 2.0L I4 MPI,GLS,4D SEDAN,BLACK,AUTO,Covers,72544,OTHER ASIAN,MEDIUM,OTHER,3364,4130,4133,4960,3364,4130,4133,4960,32824,4200,0,569,0,2009
1486,2002,7,CHRYSLER,PT CRUISER 2.4L I4 M,Lim,4D SEDAN LIMITED,SILVER,AUTO,Alloy,51382,AMERICAN,MEDIUM,CHRYSLER,3228,4186,3986,5021,3203,4180,3959,5014,32824,5800,0,1386,0,2009
1487,2006,3,CHEVROLET,HHR 2.4L I-4 MPI,LT,4D SUV 2.2L 1LT,MAROON,AUTO,Alloy,74932,AMERICAN,MEDIUM,GM,5878,7102,6848,8170,5878,7102,6848,8170,32824,7200,0,803,0,2009
1488,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LT,4D SEDAN LT 3.5L,BLUE,AUTO,Covers,85990,AMERICAN,LARGE,GM,7546,9088,8650,10315,6691,8202,7726,9358,32824,6630,0,2152,0,2009
1489,2005,4,JEEP,GRAND CHEROKEE 2WD V,Lar,4D WAGON LAREDO,GOLD,AUTO,Alloy,86061,AMERICAN,MEDIUM SUV,CHRYSLER,9175,10519,10409,11861,8572,10108,9758,11417,32824,8500,0,1893,0,2009
1490,2007,2,DODGE,CHARGER V6 2.7L V6 M,Bas,4D SEDAN 2.7L,SILVER,AUTO,Covers,50094,AMERICAN,SPECIALTY,CHRYSLER,9784,11267,11067,12668,9784,11267,11067,12668,32824,9300,0,1086,1,2009
1491,2006,3,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER EXT 3.5L,WHITE,AUTO,Covers,88311,AMERICAN,VAN,GM,7645,9614,8757,10883,7371,9142,8461,10373,32824,6700,0,2282,0,2009
1492,2006,3,HYUNDAI,ELANTRA MFI I-4 2.0L,GLS,4D SEDAN,RED,AUTO,Covers,75168,OTHER ASIAN,MEDIUM,OTHER,5149,6514,6061,7535,4931,5967,8408,9831,32824,5500,0,569,0,2009
1493,2006,3,PONTIAC,GRAND PRIX 3.8L V6 S,Bas,4D SEDAN,WHITE,AUTO,Covers,84162,AMERICAN,LARGE,GM,7045,8820,8109,10026,6806,8421,7850,9595,32824,5700,0,2152,0,2009
1494,2004,5,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,BLACK,AUTO,Covers,75196,AMERICAN,LARGE,GM,3488,4662,4267,5535,3190,4359,3945,5208,32824,5900,0,1974,0,2009
1495,2004,5,DODGE,DURANGO 2WD V8 4.7L,SLT,4D SUV 4.7L SLT,RED,AUTO,Alloy,92640,AMERICAN,MEDIUM SUV,CHRYSLER,7444,8890,8540,10101,6277,7633,10028,11546,32824,8000,0,1630,0,2009
1496,2008,1,CHRYSLER,SEBRING 4C 2.4L I4 E,LX,4D SEDAN LX,BLUE,AUTO,Covers,44079,AMERICAN,MEDIUM,CHRYSLER,8772,9367,9974,10616,8009,8530,9150,9712,32824,8300,0,834,0,2009
1497,2003,6,DODGE,NEON 2.0L I-4 SFI SO,R/T,4D SEDAN R/T,SILVER,AUTO,Alloy,87656,AMERICAN,COMPACT,CHRYSLER,3118,4298,3867,5142,3103,4270,3851,5112,32824,4100,0,1023,0,2009
1498,2005,4,DODGE,CARAVAN FWD V6 3.3L,SE,MINIVAN 3.3L,OTHER,AUTO,Covers,74312,AMERICAN,VAN,CHRYSLER,3689,4904,4484,5796,3289,4513,4052,5374,32824,4815,0,1623,1,2009
1499,2001,8,FORD,TAURUS 3.0L V6 EFI S,LX,4D SEDAN LX,WHITE,AUTO,Covers,40121,AMERICAN,MEDIUM,FORD,1952,2905,2608,3637,1942,2971,2597,3709,32824,3950,0,993,0,2009
1500,2003,6,DODGE,DURANGO 4WD V8,SLT,4D SUV 5.9L SLT,WHITE,AUTO,Covers,88911,AMERICAN,MEDIUM SUV,CHRYSLER,5279,6491,6201,7510,5279,6491,6201,7510,32824,6400,0,1803,1,2009
1501,2006,3,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,SILVER,AUTO,Covers,38800,AMERICAN,MEDIUM,CHRYSLER,5479,6645,6417,7677,4956,5865,8988,10637,32824,5600,0,882,0,2009
1502,2004,5,CHEVROLET,TAHOE 2WD,LS,4D SUV 5.3L FFV LS,WHITE,AUTO,Alloy,88963,AMERICAN,LARGE SUV,GM,8808,10532,10013,11875,7669,9510,12349,13853,32824,10300,0,1763,0,2009
